name,type,country,city,industry,external_ref
Anyang,city,KR,Anyang,,KR-CITY-ANYANG
Asan,city,KR,Asan,,KR-CITY-ASAN
Changwon,city,KR,Changwon,,KR-CITY-CHANGWON
Daegu,city,KR,Daegu,,KR-CITY-DAEGU
Daejeon,city,KR,Daejeon,,KR-CITY-DAEJEON
Geoje,city,KR,Geoje,,KR-CITY-GEOJE
Gwacheon,city,KR,Gwacheon,,KR-CITY-GWACHEON
Icheon,city,KR,Icheon,,KR-CITY-ICHEON
Incheon,city,KR,Incheon,,KR-CITY-INCHEON
Naju,city,KR,Naju,,KR-CITY-NAJU
Paju,city,KR,Paju,,KR-CITY-PAJU
Pohang,city,KR,Pohang,,KR-CITY-POHANG
Seongnam,city,KR,Seongnam,,KR-CITY-SEONGNAM
Seoul,city,KR,Seoul,,KR-CITY-SEOUL
Suwon,city,KR,Suwon,,KR-CITY-SUWON
Ulsan,city,KR,Ulsan,,KR-CITY-ULSAN
Yongin,city,KR,Yongin,,KR-CITY-YONGIN
Automotive,industry,KR,,Automotive,KR-IND-AUTOMOTIVE
Aviation,industry,KR,,Aviation,KR-IND-AVIATION
Battery,industry,KR,,Battery,KR-IND-BATTERY
Biotech,industry,KR,,Biotech,KR-IND-BIOTECH
Chemicals,industry,KR,,Chemicals,KR-IND-CHEMICALS
Construction,industry,KR,,Construction,KR-IND-CONSTRUCTION
Consumer,industry,KR,,Consumer,KR-IND-CONSUMER
Defense,industry,KR,,Defense,KR-IND-DEFENSE
Electronics,industry,KR,,Electronics,KR-IND-ELECTRONICS
Energy,industry,KR,,Energy,KR-IND-ENERGY
Finance,industry,KR,,Finance,KR-IND-FINANCE
Food,industry,KR,,Food,KR-IND-FOOD
Game,industry,KR,,Game,KR-IND-GAME
Holding,industry,KR,,Holding,KR-IND-HOLDING
Industrial,industry,KR,,Industrial,KR-IND-INDUSTRIAL
IT,industry,KR,,IT,KR-IND-IT
Logistics,industry,KR,,Logistics,KR-IND-LOGISTICS
Materials,industry,KR,,Materials,KR-IND-MATERIALS
Media,industry,KR,,Media,KR-IND-MEDIA
Mobility,industry,KR,,Mobility,KR-IND-MOBILITY
Platform,industry,KR,,Platform,KR-IND-PLATFORM
Retail,industry,KR,,Retail,KR-IND-RETAIL
Semiconductor,industry,KR,,Semiconductor,KR-IND-SEMICONDUCTOR
Shipbuilding,industry,KR,,Shipbuilding,KR-IND-SHIPBUILDING
Steel,industry,KR,,Steel,KR-IND-STEEL
Telecom,industry,KR,,Telecom,KR-IND-TELECOM